titleEnglish;titleRomaji;startDate;endDate;format;genres;popularity;score;image
Gravitation: Lyrics of Love;Gravitation OVA;23/7/1999;22/9/1999;OVA;['Comedy', 'Music', 'Romance'];3396;62;images\507.png
Hamtaro;Tottoko Hamtarou;7/7/2000;26/3/2004;TV;['Adventure', 'Comedy', 'Slice of Life'];10243;65;images\508.png
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi;Kakyuusei 2: Hitomi no Naka no Shoujo-tachi;2/10/2004;25/12/2004;TV;['Comedy', 'Drama', 'Romance'];1096;48;images\510.png
Moeyo Ken;Kidou Shinsengumi Moeyo Ken TV;1/7/2005;23/9/2005;TV;['Adventure', 'Comedy', 'Fantasy'];1065;53;images\511.png
Kiki's Delivery Service;Majo no Takkyuubin;29/7/1989;29/7/1989;MOVIE;['Adventure', 'Drama', 'Fantasy', 'Slice of Life'];121754;81;images\512.png
Castle in the Sky;Tenkuu no Shiro Laputa;2/8/1986;2/8/1986;MOVIE;['Adventure', 'Fantasy', 'Sci-Fi'];90027;80;images\513.png
Le Portrait de Petit Cossette;Cossette no Shouzou;11/4/2004;22/12/2004;OVA;['Drama', 'Horror', 'Psychological', 'Romance', 'Supernatural'];13751;64;images\514.png
Legend of Crystania: The Motion Picture;Hajimari no Boukensha-tachi: Legend of Crystania;29/7/1995;29/7/1995;MOVIE;['Action', 'Adventure', 'Fantasy', 'Supernatural'];1313;51;images\515.png
Sgt. Frog;Keroro Gunsou;3/4/2004;4/4/2011;TV;['Comedy', 'Sci-Fi'];12465;74;images\516.png
Magical Princess Minky Momo;Mahou no Princess Minky Momo;18/3/1982;26/5/1983;TV;['Mahou Shoujo'];2639;60;images\518.png
Mahoraba ~HeartfuL days~;Mahoraba: Heartful days;10/1/2005;27/6/2005;TV;['Comedy', 'Drama', 'Romance'];4024;68;images\519.png
Marmalade Boy Movie;Marmalade Boy Movie;4/3/1995;4/3/1995;MOVIE;['Comedy', 'Drama', 'Romance', 'Slice of Life'];1856;65;images\520.png
Mermaid Melody: Pichi Pichi Pitch;Mermaid Melody: Pichi Pichi Pitch;5/4/2003;27/3/2004;TV;['Adventure', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'Music', 'Romance'];12762;69;images\521.png
Metropolis;Metropolis;26/5/2001;26/5/2001;MOVIE;['Adventure', 'Drama', 'Romance', 'Sci-Fi'];22984;73;images\522.png
My Neighbor Totoro;Tonari no Totoro;16/4/1988;16/4/1988;MOVIE;['Adventure', 'Fantasy', 'Slice of Life', 'Supernatural'];187696;80;images\523.png
Please☆Twins!: The Summer Never Ends;Onegai☆Twins OVA;28/4/2004;28/4/2004;OVA;['Comedy', 'Drama', 'Romance'];3693;64;images\524.png
