titleEnglish;titleRomaji;startDate;endDate;format;genres;popularity;score;image
Cowboy Bebop;Cowboy Bebop;3/4/1998;24/4/1999;TV;['Action', 'Adventure', 'Drama', 'Sci-Fi'];322988;86;images\1.png
Cowboy Bebop: The Movie - Knockin' on Heaven's Door;Cowboy Bebop: Tengoku no Tobira;1/9/2001;1/9/2001;MOVIE;['Action', 'Drama', 'Mystery', 'Sci-Fi'];60045;82;images\5.png
Trigun;TRIGUN;1/4/1998;30/9/1998;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi'];113787;79;images\6.png
Witch Hunter ROBIN;Witch Hunter ROBIN;2/7/2002;24/12/2002;TV;['Action', 'Drama', 'Mystery', 'Supernatural'];15158;68;images\7.png
Beet the Vandel Buster;Bouken Ou Beet;30/9/2004;29/9/2005;TV;['Adventure', 'Fantasy', 'Supernatural'];2121;62;images\8.png
Eyeshield 21;Eyeshield 21;6/4/2005;19/3/2008;TV;['Action', 'Comedy', 'Sports'];25120;75;images\15.png
Honey and Clover;Hachimitsu to Clover;15/4/2005;27/9/2005;TV;['Comedy', 'Drama', 'Romance', 'Slice of Life'];44378;76;images\16.png
Hungry Heart: Wild Striker;Hungry Heart: Wild Striker;11/9/2002;10/9/2003;TV;['Comedy', 'Slice of Life', 'Sports'];3525;70;images\17.png
Initial D 4th Stage;Initial D FOURTH STAGE;17/4/2004;18/2/2006;TV;['Action', 'Drama', 'Sports'];31927;79;images\18.png
Monster;MONSTER;7/4/2004;28/9/2005;TV;['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller'];201423;88;images\19.png
Naruto;NARUTO;3/10/2002;8/2/2007;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural'];494374;79;images\20.png
ONE PIECE;ONE PIECE;20/10/1999;None/None/None;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];464638;87;images\21.png
The Prince of Tennis;Tennis no Ouji-sama;10/10/2001;23/3/2005;TV;['Action', 'Comedy', 'Sports'];26328;74;images\22.png
Ring ni Kakero 1;Ring ni Kakero 1;6/10/2004;15/12/2004;TV;['Action', 'Sports'];1104;54;images\23.png
School Rumble;School Rumble;5/10/2004;29/3/2005;TV;['Comedy', 'Romance', 'Slice of Life'];44426;75;images\24.png
Desert Punk;Sunabouzu;6/10/2004;30/3/2005;TV;['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi'];20380;68;images\25.png
Texhnolyze;TEXHNOLYZE;17/4/2003;25/9/2003;TV;['Action', 'Drama', 'Psychological', 'Sci-Fi'];54955;76;images\26.png
Trinity Blood;Trinity Blood;29/4/2005;28/10/2005;TV;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural'];19292;67;images\27.png
Yakitate!! Japan;Yakitate!! Japan;12/10/2004;14/3/2006;TV;['Comedy'];14827;75;images\28.png
Zipang;Zipang;7/10/2004;31/3/2005;TV;['Action', 'Sci-Fi'];4500;71;images\29.png
Neon Genesis Evangelion;Shin Seiki Evangelion;3/10/1995;27/3/1996;TV;['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi'];323171;83;images\30.png
Neon Genesis Evangelion: Death & Rebirth;Shin Seiki Evangelion Movie: Shi to Shinsei;15/3/1997;15/3/1997;MOVIE;['Drama', 'Mecha', 'Psychological', 'Sci-Fi'];44552;72;images\31.png
Neon Genesis Evangelion: The End of Evangelion;Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni;19/7/1997;19/7/1997;MOVIE;['Action', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi'];167324;85;images\32.png
Berserk;Kenpuu Denki Berserk;7/10/1997;31/3/1998;TV;['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural'];104899;83;images\33.png
Ghost in the Shell;GHOST IN THE SHELL: Koukaku Kidoutai;18/11/1995;18/11/1995;MOVIE;['Action', 'Psychological', 'Sci-Fi'];112365;80;images\43.png
Samurai X: Trust and Betrayal;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;20/2/1999;22/9/1999;OVA;['Action', 'Drama', 'Romance'];35818;84;images\44.png
Rurouni Kenshin;Rurouni Kenshin: Meiji Kenkaku Romantan;10/1/1996;8/9/1998;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Romance'];66505;79;images\45.png
Samurai X: The Motion Picture;Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem;20/12/1997;20/12/1997;MOVIE;['Action', 'Drama'];6660;70;images\46.png
Akira;AKIRA;16/7/1988;16/7/1988;MOVIE;['Action', 'Adventure', 'Horror', 'Psychological', 'Sci-Fi', 'Supernatural'];154014;79;images\47.png
.hack//Sign;.hack//SIGN;4/4/2002;26/9/2002;TV;['Adventure', 'Fantasy', 'Mystery', 'Sci-Fi'];25068;65;images\48.png
Oh! My Goddess;Aa! Megami-sama!;21/2/1993;17/5/1994;OVA;['Comedy', 'Drama', 'Romance', 'Supernatural'];8003;68;images\49.png
Oh! My Goddess (TV);Aa! Megami-sama! (TV);7/1/2005;8/7/2005;TV;['Comedy', 'Romance', 'Supernatural'];18460;69;images\50.png
Angel Sanctuary;Tenshi Kinryouku;25/5/2000;25/8/2000;OVA;['Action', 'Drama', 'Ecchi', 'Romance', 'Supernatural'];5134;54;images\51.png
Angelic Layer;Kidou Tenshi Angelic Layer;1/4/2001;23/9/2001;TV;['Comedy', 'Drama', 'Sci-Fi', 'Sports'];7967;68;images\52.png
Ai Yori Aoshi;Ai Yori Aoshi;11/4/2002;26/9/2002;TV;['Comedy', 'Drama', 'Romance', 'Slice of Life'];13148;66;images\53.png
Appleseed (Movie);Appleseed (Movie);17/4/2004;17/4/2004;MOVIE;['Action', 'Drama', 'Mecha', 'Sci-Fi'];8077;65;images\54.png
Arc the Lad;Arc the Lad;5/4/1999;11/9/1999;TV;['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi'];2097;59;images\55.png
Avenger;Avenger;2/10/2003;25/12/2003;TV;['Adventure', 'Fantasy', 'Sci-Fi'];2484;52;images\56.png
Beck: Mongolian Chop Squad;BECK;6/10/2004;30/3/2005;TV;['Comedy', 'Drama', 'Music', 'Slice of Life'];56229;80;images\57.png
Blue Gender;BLUE GENDER;8/10/1999;31/3/2000;TV;['Adventure', 'Drama', 'Horror', 'Mecha', 'Psychological', 'Romance', 'Sci-Fi'];11291;65;images\58.png
Chobits;Chobits;3/4/2002;25/9/2002;TV;['Comedy', 'Drama', 'Ecchi', 'Romance', 'Sci-Fi'];62623;70;images\59.png
Chrono Crusade;Chrno Crusade;24/11/2003;10/6/2004;TV;['Action', 'Romance', 'Supernatural'];24792;71;images\60.png
D.N.Angel;D.N.Angel;3/4/2003;25/9/2003;TV;['Action', 'Comedy', 'Fantasy', 'Romance'];17465;66;images\61.png
D.C.~Da Capo~;D.C.: Da Capo;5/7/2003;27/12/2003;TV;['Drama', 'Romance'];10413;62;images\62.png
DearS;DearS;11/7/2004;26/9/2004;TV;['Comedy', 'Ecchi', 'Romance', 'Sci-Fi'];17199;59;images\63.png
Rozen Maiden;Rozen Maiden;8/10/2004;24/12/2004;TV;['Action', 'Comedy', 'Drama', 'Supernatural'];27476;70;images\64.png
Rozen Maiden: Dreaming;Rozen Maiden: Träumend;21/10/2005;27/1/2006;TV;['Action', 'Comedy', 'Drama'];12938;72;images\65.png
Azumanga Daioh;Azumanga Daiou THE ANIMATION;9/4/2002;1/10/2002;TV;['Comedy', 'Slice of Life'];59772;78;images\66.png
Basilisk;Basilisk: Kouga Ninpouchou;13/4/2005;21/9/2005;TV;['Action', 'Adventure', 'Drama', 'Romance'];22946;71;images\67.png
Black Cat;Black Cat;6/10/2005;30/3/2006;TV;['Adventure', 'Comedy', 'Sci-Fi'];31056;69;images\68.png
Cowboy Bebop;Cowboy Bebop;3/4/1998;24/4/1999;TV;['Action', 'Adventure', 'Drama', 'Sci-Fi'];322988;86;images\1.png
Cowboy Bebop: The Movie - Knockin' on Heaven's Door;Cowboy Bebop: Tengoku no Tobira;1/9/2001;1/9/2001;MOVIE;['Action', 'Drama', 'Mystery', 'Sci-Fi'];60045;82;images\5.png
Trigun;TRIGUN;1/4/1998;30/9/1998;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi'];113787;79;images\6.png
Witch Hunter ROBIN;Witch Hunter ROBIN;2/7/2002;24/12/2002;TV;['Action', 'Drama', 'Mystery', 'Supernatural'];15158;68;images\7.png
Beet the Vandel Buster;Bouken Ou Beet;30/9/2004;29/9/2005;TV;['Adventure', 'Fantasy', 'Supernatural'];2121;62;images\8.png
Eyeshield 21;Eyeshield 21;6/4/2005;19/3/2008;TV;['Action', 'Comedy', 'Sports'];25120;75;images\15.png
Honey and Clover;Hachimitsu to Clover;15/4/2005;27/9/2005;TV;['Comedy', 'Drama', 'Romance', 'Slice of Life'];44378;76;images\16.png
Hungry Heart;Hungry Heart: Wild Striker;11/9/2002;10/9/2003;TV;['Comedy', 'Slice of Life', 'Sports'];3525;70;images\17.png
Initial D 4th Stage;Initial D FOURTH STAGE;17/4/2004;18/2/2006;TV;['Action', 'Drama', 'Sports'];31927;79;images\18.png
Monster;MONSTER;7/4/2004;28/9/2005;TV;['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller'];201423;88;images\19.png
Naruto;NARUTO;3/10/2002;8/2/2007;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Supernatural'];494374;79;images\20.png
ONE PIECE;ONE PIECE;20/10/1999;None/None/None;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];464638;87;images\21.png
The Prince of Tennis;Tennis no Ouji-sama;10/10/2001;23/3/2005;TV;['Action', 'Comedy', 'Sports'];26328;74;images\22.png
Ring ni Kakero 1;Ring ni Kakero 1;6/10/2004;15/12/2004;TV;['Action', 'Sports'];1104;54;images\23.png
School Rumble;School Rumble;5/10/2004;29/3/2005;TV;['Comedy', 'Romance', 'Slice of Life'];44426;75;images\24.png
Desert Punk;Sunabouzu;6/10/2004;30/3/2005;TV;['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi'];20380;68;images\25.png
Texhnolyze;TEXHNOLYZE;17/4/2003;25/9/2003;TV;['Action', 'Drama', 'Psychological', 'Sci-Fi'];54955;76;images\26.png
Trinity Blood;Trinity Blood;29/4/2005;28/10/2005;TV;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural'];19292;67;images\27.png
Yakitate!! Japan;Yakitate!! Japan;12/10/2004;14/3/2006;TV;['Comedy'];14827;75;images\28.png
Zipang;Zipang;7/10/2004;31/3/2005;TV;['Action', 'Sci-Fi'];4500;71;images\29.png
Neon Genesis Evangelion;Shin Seiki Evangelion;3/10/1995;27/3/1996;TV;['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi'];323171;83;images\30.png
Neon Genesis Evangelion: Death & Rebirth;Shin Seiki Evangelion Movie: Shi to Shinsei;15/3/1997;15/3/1997;MOVIE;['Drama', 'Mecha', 'Psychological', 'Sci-Fi'];44552;72;images\31.png
Neon Genesis Evangelion: The End of Evangelion;Shin Seiki Evangelion Movie: Air / Magokoro wo, Kimi ni;19/7/1997;19/7/1997;MOVIE;['Action', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi'];167324;85;images\32.png
Berserk;Kenpuu Denki Berserk;7/10/1997;31/3/1998;TV;['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural'];104899;83;images\33.png
Ghost in the Shell;GHOST IN THE SHELL: Koukaku Kidoutai;18/11/1995;18/11/1995;MOVIE;['Action', 'Psychological', 'Sci-Fi'];112365;80;images\43.png
Samurai X: Trust and Betrayal;Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen;20/2/1999;22/9/1999;OVA;['Action', 'Drama', 'Romance'];35818;84;images\44.png
Rurouni Kenshin;Rurouni Kenshin: Meiji Kenkaku Romantan;10/1/1996;8/9/1998;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Romance'];66505;79;images\45.png
Samurai X: The Motion Picture;Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Requiem;20/12/1997;20/12/1997;MOVIE;['Action', 'Drama'];6660;70;images\46.png
Akira;AKIRA;16/7/1988;16/7/1988;MOVIE;['Action', 'Adventure', 'Horror', 'Psychological', 'Sci-Fi', 'Supernatural'];154014;79;images\47.png
.hack//Sign;.hack//SIGN;4/4/2002;26/9/2002;TV;['Adventure', 'Fantasy', 'Mystery', 'Sci-Fi'];25068;65;images\48.png
Oh! My Goddess;Aa! Megami-sama!;21/2/1993;17/5/1994;OVA;['Comedy', 'Drama', 'Romance', 'Supernatural'];8003;68;images\49.png
Oh! My Goddess (TV);Aa! Megami-sama! (TV);7/1/2005;8/7/2005;TV;['Comedy', 'Romance', 'Supernatural'];18460;69;images\50.png
Angel Sanctuary;Tenshi Kinryouku;25/5/2000;25/8/2000;OVA;['Action', 'Drama', 'Ecchi', 'Romance', 'Supernatural'];5134;54;images\51.png
Angelic Layer;Kidou Tenshi Angelic Layer;1/4/2001;23/9/2001;TV;['Comedy', 'Drama', 'Sci-Fi', 'Sports'];7967;68;images\52.png
Ai Yori Aoshi;Ai Yori Aoshi;11/4/2002;26/9/2002;TV;['Comedy', 'Drama', 'Romance', 'Slice of Life'];13148;66;images\53.png
Appleseed (Movie);Appleseed (Movie);17/4/2004;17/4/2004;MOVIE;['Action', 'Drama', 'Mecha', 'Sci-Fi'];8077;65;images\54.png
Arc the Lad;Arc the Lad;5/4/1999;11/9/1999;TV;['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi'];2097;59;images\55.png
Avenger;Avenger;2/10/2003;25/12/2003;TV;['Adventure', 'Fantasy', 'Sci-Fi'];2484;52;images\56.png
Beck: Mongolian Chop Squad;BECK;6/10/2004;30/3/2005;TV;['Comedy', 'Drama', 'Music', 'Slice of Life'];56229;80;images\57.png
Blue Gender;BLUE GENDER;8/10/1999;31/3/2000;TV;['Adventure', 'Drama', 'Horror', 'Mecha', 'Psychological', 'Romance', 'Sci-Fi'];11291;65;images\58.png
Chobits;Chobits;3/4/2002;25/9/2002;TV;['Comedy', 'Drama', 'Ecchi', 'Romance', 'Sci-Fi'];62623;70;images\59.png
Chrono Crusade;Chrno Crusade;24/11/2003;10/6/2004;TV;['Action', 'Romance', 'Supernatural'];24792;71;images\60.png
D.N.Angel;D.N.Angel;3/4/2003;25/9/2003;TV;['Action', 'Comedy', 'Fantasy', 'Romance'];17465;66;images\61.png
D.C.~Da Capo~;D.C.: Da Capo;5/7/2003;27/12/2003;TV;['Drama', 'Romance'];10413;62;images\62.png
DearS;DearS;11/7/2004;26/9/2004;TV;['Comedy', 'Ecchi', 'Romance', 'Sci-Fi'];17199;59;images\63.png
Rozen Maiden;Rozen Maiden;8/10/2004;24/12/2004;TV;['Action', 'Comedy', 'Drama', 'Supernatural'];27476;70;images\64.png
Rozen Maiden: Dreaming;Rozen Maiden: Träumend;21/10/2005;27/1/2006;TV;['Action', 'Comedy', 'Drama'];12938;72;images\65.png
Azumanga Daioh;Azumanga Daiou THE ANIMATION;9/4/2002;1/10/2002;TV;['Comedy', 'Slice of Life'];59772;78;images\66.png
Basilisk;Basilisk: Kouga Ninpouchou;13/4/2005;21/9/2005;TV;['Action', 'Adventure', 'Drama', 'Romance'];22946;71;images\67.png
Black Cat;Black Cat;6/10/2005;30/3/2006;TV;['Adventure', 'Comedy', 'Sci-Fi'];31056;69;images\68.png
CLUSTER EDGE;CLUSTER EDGE;4/10/2005;28/3/2006;TV;['Action', 'Fantasy', 'Sci-Fi'];1496;53;images\69.png
Full Metal Panic!;Full Metal Panic!;8/1/2002;18/6/2002;TV;['Action', 'Comedy', 'Mecha', 'Sci-Fi'];66852;72;images\71.png
Full Metal Panic? Fumoffu;Full Metal Panic? Fumoffu;26/8/2003;18/10/2003;TV;['Action', 'Comedy', 'Romance'];34162;77;images\72.png
Full Metal Panic! The Second Raid;Full Metal Panic! The Second Raid;14/7/2005;20/10/2005;TV;['Action', 'Mecha', 'Sci-Fi'];31386;76;images\73.png
Gakuen Alice;Gakuen Alice;30/10/2004;14/5/2005;TV;['Comedy', 'Drama', 'Fantasy', 'Supernatural'];13030;72;images\74.png
Fafner;Soukyuu no Fafner;5/7/2004;27/12/2004;TV;['Drama', 'Mecha', 'Sci-Fi'];9630;68;images\75.png
Magical Girl Lyrical Nanoha;Mahou Shoujo Lyrical Nanoha;3/10/2004;26/12/2004;TV;['Action', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo'];20435;71;images\76.png
Magical Girl Lyrical Nanoha A's;Mahou Shoujo Lyrical Nanoha A's;2/10/2005;25/12/2005;TV;['Action', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo'];11940;77;images\77.png
SHUFFLE!;SHUFFLE!;8/7/2005;6/1/2006;TV;['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Romance'];35000;65;images\79.png
Mobile Suit Gundam;Kidou Senshi Gundam;7/4/1979;26/1/1980;TV;['Drama', 'Mecha', 'Sci-Fi'];29360;76;images\80.png
Mobile Suit Gundam: The 08th MS Team;Kidou Senshi Gundam: Dai 08 MS Shotai;25/1/1996;25/7/1999;OVA;['Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi'];15969;76;images\81.png
Mobile Suit Gundam 0080: War in the Pocket;Kidou Senshi Gundam 0080: Pocket no Naka no Sensou;25/3/1989;25/8/1989;OVA;['Adventure', 'Drama', 'Mecha', 'Sci-Fi'];14534;79;images\82.png
Mobile Suit Gundam: The 08th MS Team - Miller's Report;Kidou Senshi Gundam: Dai 08 MS Shotai - Miller's Report;1/8/1998;1/8/1998;MOVIE;['Drama', 'Mecha', 'Sci-Fi'];2739;63;images\83.png
Mobile Suit Gundam 0083: Stardust Memory;Kidou Senshi Gundam 0083: STARDUST MEMORY;23/5/1991;24/9/1992;OVA;['Adventure', 'Drama', 'Mecha', 'Sci-Fi'];9793;67;images\84.png
Mobile Suit Zeta Gundam;Kidou Senshi Zeta Gundam;2/3/1985;22/2/1986;TV;['Drama', 'Mecha', 'Sci-Fi'];17434;77;images\85.png
Mobile Suit Gundam ZZ;Kidou Senshi Gundam Double Zeta;8/3/1986;31/1/1987;TV;['Drama', 'Mecha', 'Sci-Fi'];10879;64;images\86.png
Mobile Suit Gundam: Char's Counterattack;Kidou Senshi Gundam: Gyakushuu no Char;12/3/1988;12/3/1988;MOVIE;['Drama', 'Mecha', 'Sci-Fi'];11324;74;images\87.png
Mobile Suit Gundam F91;Kidou Senshi Gundam F91;16/3/1991;16/3/1991;MOVIE;['Drama', 'Mecha', 'Sci-Fi'];7798;62;images\88.png
Mobile Suit Victory Gundam;Kidou Senshi Victory Gundam;2/4/1993;25/3/1994;TV;['Drama', 'Mecha', 'Sci-Fi'];6690;64;images\89.png
Mobile Suit Gundam Wing;Shin Kidou Senki Gundam Wing;7/4/1995;29/3/1996;TV;['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi'];21922;71;images\90.png
Mobile Suit Gundam Wing: Endless Waltz;Shin Kidou Senki Gundam Wing: Endless Waltz;25/1/1997;25/7/1997;OVA;['Action', 'Drama', 'Mecha', 'Sci-Fi'];6595;71;images\91.png
After War Gundam X;Kidou Shin Seiki Gundam X;5/4/1996;28/12/1996;TV;['Adventure', 'Drama', 'Mecha', 'Sci-Fi'];7115;70;images\92.png
Mobile Suit Gundam Seed;Kidou Senshi Gundam SEED;5/10/2002;27/9/2003;TV;['Action', 'Drama', 'Mecha', 'Sci-Fi'];21717;72;images\93.png
Mobile Suit Gundam Seed Destiny;Kidou Senshi Gundam SEED DESTINY;9/10/2004;1/10/2005;TV;['Action', 'Drama', 'Mecha', 'Romance', 'Sci-Fi'];13310;64;images\94.png
Turn A Gundam;∀ Gundam;9/4/1999;14/4/2000;TV;['Action', 'Adventure', 'Drama', 'Mecha', 'Sci-Fi'];13285;78;images\95.png
Mobile Fighter G Gundam;Kidou Butouden G Gundam;1/4/1994;31/3/1995;TV;['Action', 'Adventure', 'Drama', 'Mecha', 'Romance'];12127;73;images\96.png
Last Exile;Last Exile;7/4/2003;29/9/2003;TV;['Action', 'Adventure', 'Sci-Fi'];24780;74;images\97.png
My-HiME;Mai-HiME;30/9/2004;31/3/2005;TV;['Action', 'Comedy', 'Drama', 'Fantasy', 'Mecha', 'Romance'];15549;68;images\98.png
My-Otome;Mai-Otome;7/10/2005;31/3/2006;TV;['Comedy', 'Drama', 'Fantasy'];6366;68;images\99.png
Prétear: The New Legend of Snow White;Shin Shirayuki-hime Densetsu Pretear;4/4/2001;21/6/2001;TV;['Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Romance'];7816;66;images\100.png
Air;AIR;7/1/2005;1/4/2005;TV;['Drama', 'Romance', 'Slice of Life', 'Supernatural'];39037;68;images\101.png
Love You Baby;Aishiteruze Baby★★;3/4/2004;9/10/2004;TV;['Comedy', 'Drama', 'Romance'];11475;71;images\102.png
Red Riding Hood Chacha;Akazukin Chacha;7/1/1994;30/6/1995;TV;['Adventure', 'Comedy', 'Fantasy', 'Mahou Shoujo', 'Romance'];2888;66;images\103.png
Ceres, Celestial Legend;Ayashi no Ceres;20/4/2000;28/9/2000;TV;['Adventure', 'Comedy', 'Drama', 'Horror', 'Romance'];6651;64;images\104.png
Boys Be...;Boys Be...;11/4/2000;4/7/2000;TV;['Comedy', 'Romance', 'Slice of Life'];3102;56;images\105.png
Boys Over Flowers;Hana Yori Dango;8/9/1996;31/8/1997;TV;['Comedy', 'Drama', 'Romance'];9836;70;images\106.png
Jing: King of Bandits;Ou Dorobou JING;15/5/2002;14/8/2002;TV;['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi'];5471;65;images\107.png
Jing: King of Bandits - Seventh Heaven;Ou Dorobou JING in Seventh Heaven;21/1/2004;28/4/2004;OVA;['Adventure', 'Comedy', 'Fantasy', 'Psychological'];1894;65;images\108.png
Burst Angel;Bakuretsu Tenshi;6/5/2004;14/9/2004;TV;['Adventure', 'Comedy', 'Mecha', 'Sci-Fi'];8718;62;images\109.png
Cooking Master Boy;Chuuka Ichiban!;27/4/1997;13/9/1998;TV;['Action', 'Adventure', 'Drama'];3193;69;images\110.png
Corrector Yui;Corrector Yui;9/4/1999;15/10/1999;TV;['Adventure', 'Comedy', 'Mahou Shoujo', 'Sci-Fi'];3413;64;images\111.png
The Cosmopolitan Prayers;Chou Henshin Cosprayers;12/1/2004;1/3/2004;TV_SHORT;['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy'];1645;38;images\112.png
Stellvia of the Universe;Uchuu no Stellvia;3/4/2003;25/9/2003;TV;['Action', 'Mecha', 'Romance', 'Sci-Fi'];4639;69;images\113.png
Cromartie High School;Sakigake!! Cromartie Koukou;3/10/2003;26/3/2004;TV_SHORT;['Comedy'];25984;75;images\114.png
El Hazard: The Alternative World;Ijigen no Sekai El Hazard;8/1/1998;26/3/1998;TV;['Adventure', 'Comedy', 'Fantasy'];1513;62;images\115.png
El Hazard: The Wanderers;Shinpi no Sekai El Hazard (TV);6/10/1995;29/3/1996;TV;['Adventure', 'Comedy'];2910;64;images\116.png
El Hazard: The Magnificent World;Shinpi no Sekai El Hazard;26/5/1995;25/1/1996;OVA;['Adventure', 'Comedy', 'Fantasy', 'Romance'];3598;67;images\117.png
Shinpi no Sekai El Hazard 2;Shinpi no Sekai El Hazard 2;21/3/1997;25/10/1997;OVA;['Adventure', 'Comedy', 'Fantasy'];1432;61;images\118.png
Final Approach;Final Approach;3/10/2004;26/12/2004;TV_SHORT;['Comedy', 'Drama', 'Romance', 'Slice of Life'];4374;58;images\119.png
Fruits Basket;Fruits Basket;5/7/2001;27/12/2001;TV;['Comedy', 'Drama', 'Romance', 'Slice of Life', 'Supernatural'];73439;74;images\120.png
Fullmetal Alchemist;Hagane no Renkinjutsushi;4/10/2003;2/10/2004;TV;['Action', 'Adventure', 'Drama', 'Fantasy'];184761;78;images\121.png
Full Moon;Full Moon wo Sagashite;6/4/2002;29/3/2003;TV;['Comedy', 'Drama', 'Mahou Shoujo', 'Music', 'Romance', 'Supernatural'];15652;75;images\122.png
Fushigi Yugi: The Mysterious Play;Fushigi Yuugi;6/4/1995;28/3/1996;TV;['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance'];14831;71;images\123.png
Mysterious Play: Eikoden;Fushigi Yuugi: Eikoden;21/12/2001;25/6/2002;OVA;['Adventure', 'Fantasy', 'Romance'];2257;61;images\124.png
Twin Love;Futakoi;6/10/2004;29/12/2004;TV;['Comedy', 'Romance'];4942;58;images\125.png
Twin Love Alternative;Futakoi Alternative;7/4/2005;30/6/2005;TV;['Comedy', 'Drama', 'Romance'];4917;64;images\126.png
Gate Keepers;Gate Keepers;3/4/2000;18/9/2000;TV;['Action', 'Comedy', 'Fantasy', 'Mecha', 'Sci-Fi'];3123;62;images\127.png
Gate Keepers 21;Gate Keepers 21;24/4/2002;8/1/2003;OVA;['Action', 'Drama', 'Sci-Fi'];1549;60;images\128.png
Saiyuki;Gensou Maden Saiyuuki;4/4/2000;27/3/2001;TV;['Adventure', 'Comedy', 'Drama', 'Supernatural'];7814;69;images\129.png
Saiyuki Reload;Saiyuuki RELOAD;2/10/2003;25/3/2004;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy'];4634;69;images\130.png
Saiyuki Gunlock;Saiyuuki RELOAD GUNLOCK;2/4/2004;24/9/2004;TV;['Action', 'Adventure', 'Comedy', 'Fantasy'];3057;68;images\131.png
GetBackers;GetBackers: Dakkanya;5/10/2002;20/9/2003;TV;['Action', 'Comedy', 'Drama', 'Mystery'];14624;71;images\132.png
Green Green;Green Green;12/7/2003;27/9/2003;TV;['Comedy', 'Ecchi', 'Romance', 'Slice of Life'];12717;53;images\133.png
Gunslinger Girl;GUNSLINGER GIRL;8/10/2003;19/2/2004;TV;['Action', 'Drama', 'Psychological', 'Sci-Fi'];29771;70;images\134.png
Hikaru no Go;Hikaru no Go;10/10/2001;26/3/2003;TV;['Comedy', 'Sports', 'Supernatural'];19821;78;images\135.png
Hunter x Hunter;HUNTER×HUNTER;16/10/1999;31/3/2001;TV;['Action', 'Adventure', 'Fantasy'];87755;82;images\136.png
Hunter x Hunter: Yorknew City;HUNTER×HUNTER OVA;17/1/2002;17/4/2002;OVA;['Action', 'Adventure', 'Fantasy'];21387;81;images\137.png
HUNTER×HUNTER: Greed Island;HUNTER×HUNTER: Greed Island;5/2/2003;16/4/2003;OVA;['Action', 'Adventure', 'Fantasy'];23474;79;images\138.png
HUNTER×HUNTER: Greed Island Final;HUNTER×HUNTER: Greed Island Final;3/3/2004;18/8/2004;OVA;['Action', 'Adventure', 'Fantasy'];19662;79;images\139.png
Jinki:Extend;Jinki:Extend;5/1/2005;23/3/2005;TV;['Mecha', 'Sci-Fi'];2004;52;images\141.png
Kamikaze Kaitou Jeanne;Kamikaze Kaitou Jeanne;13/2/1999;29/1/2000;TV;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Mystery', 'Romance'];7513;70;images\142.png
Destiny of the Shrine Maiden;Kannazuki no Miko;2/10/2004;18/12/2004;TV;['Drama', 'Mecha', 'Romance'];11195;61;images\143.png
Kanon;Kanon;31/1/2002;28/3/2002;TV;['Drama', 'Romance', 'Slice of Life', 'Supernatural'];10786;63;images\144.png
His and Her Circumstances;Kareshi Kanojo no Jijou;2/10/1998;26/3/1999;TV;['Comedy', 'Drama', 'Romance', 'Slice of Life'];46064;75;images\145.png
